event_id,radial_kinetic_energy_eV,axial_kinetic_energy_eV,total_kinetic_energy_eV,extraction_time_ns
34,8.380926391015e+02,8.229844664461e+04,8.313653928372e+04,4.443139713993e+01
36,5.462267253320e+02,8.778279274144e+04,8.832901946677e+04,4.319856048717e+01
37,2.643099973591e+03,7.471966073460e+04,7.736276070819e+04,4.751928157804e+01
38,1.506373490282e+03,4.827257286032e+04,4.977894635061e+04,5.173457887812e+01
39,3.235193338008e+02,5.434854705085e+04,5.467206638465e+04,5.107112437350e+01
40,8.946096886485e+01,1.112858990627e+05,1.113753600316e+05,4.005858235158e+01
41,5.508041110119e+02,3.394489464860e+03,3.945293575872e+03,9.461020399322e+01
46,1.078812346856e+03,6.900906091496e+04,7.008787326182e+04,4.804712642610e+01
47,7.972366451324e+02,7.327233732079e+04,7.406957396592e+04,4.581675695270e+01
49,5.839493877125e+03,8.008082037060e+04,8.592031424773e+04,4.475276906521e+01
53,9.890562373183e+02,3.483503883078e+04,3.582409506810e+04,5.712130903947e+01
54,3.092993280443e+03,3.148400520494e+04,3.457699848538e+04,6.048480695246e+01
55,8.439436463102e+03,9.618366849437e+04,1.046231049575e+05,4.111289819405e+01
56,1.056164831784e+02,9.037757857142e+04,9.048319505460e+04,4.312082797884e+01
58,1.231811429122e+03,2.895241114890e+04,3.018422257802e+04,6.073402563527e+01
